;link;id;Landscape;Portrait;Documentary;Other (photo) with description;Text;Other (picture) with description;Directly related;Indirectly related;Positiv;Negative;Likeseeker;refugees help;meeting refugees;sea crossing;public demonstration;refugees documentary;konferenz;opinion;ref. Lager;humnanism;others;;;;
33748;https://www.instagram.com/p/8789m6SRXA/;1097739050653652416_1509809676;;;;;;;;;;;;;;;;;;;;;;;;;
72084;https://www.instagram.com/p/7FXpvuvm49/;1064360910761389629_2088368994;;;;;;;;;;;;;;;;;;;;;;;;;
116197;https://www.instagram.com/p/-6Ohb5H2FW/;1133282126580375894_2220292007;;;;;;;;;;;;;;;;;;;;;;;;;
43188;https://www.instagram.com/p/8IzQu3yrG4/;1083341160594452920_29284779;;;;;;;;;;;;;;;;;;;;;;;;;
56120;https://www.instagram.com/p/7iDUbUPVwM/;1072434259127262220_1385088926;;;;;;;;;;;;;;;;;;;;;;;;;
122521;https://www.instagram.com/p/78F4yamMMM/;1079763903318639372_611511583;;;;;;;;;;;;;;;;;;;;;;;;;
48822;https://www.instagram.com/p/70G2GOLs29/;1077516316659600829_629782994;;;;;;;;;;;;;;;;;;;;;;;;;
8353;https://www.instagram.com/p/-yeUzro5x3/;1131099827701259383_461392278;;;;;;;;;;;;;;;;;;;;;;;;;
44435;https://www.instagram.com/p/8DWPKZzXfA/;1081806134484760512_819956;;;;;;;;;;;;;;;;;;;;;;;;;
2936;https://www.instagram.com/p/_MUmiIEH6n/;1138375414730751655_1736776054;;;;;;;;;;;;;;;;;;;;;;;;;
18388;https://www.instagram.com/p/-PUBM2nYjH/;1121202875689437383_52871889;;;;;;;;;;;;;;;;;;;;;;;;;
44397;https://www.instagram.com/p/8DdYzmTZzu/;1081837583518768366_2010119966;;;;;;;;;;;;;;;;;;;;;;;;;
61548;https://www.instagram.com/p/7WFQjXOlYH/;1069065089261917703_176028732;;;;;;;;;;;;;;;;;;;;;;;;;
5146;https://www.instagram.com/p/_C7jjGTNX2/;1135731983663289846_1181644916;;;;;;;;;;;;;;;;;;;;;;;;;
119464;https://www.instagram.com/p/9QoTlYPEA2/;1103559176371322934_10828855;;;;;;;;;;;;;;;;;;;;;;;;;
78543;https://www.instagram.com/p/5Vacxwjxow/;1032848016334068272_476125965;;;;;;;;;;;;;;;;;;;;;;;;;
77455;https://www.instagram.com/p/50WTg3QOh6/;1041555511809468538_268924153;;;;;;;;;;;;;;;;;;;;;;;;;
2921;https://www.instagram.com/p/_MVQGJEH8W/;1138378270900780822_1736776054;;;;;;;;;;;;;;;;;;;;;;;;;
86402;https://www.instagram.com/p/1-580OAG_g/;972469437447827424_685026;;;;;;;;;;;;;;;;;;;;;;;;;
121166;https://www.instagram.com/p/8XPwuvnUfS/;1087407154456774610_418451872;;;;;;;;;;;;;;;;;;;;;;;;;
121824;https://www.instagram.com/p/8JMMw5OVuL/;1083450839050836875_16488669;;;;;;;;;;;;;;;;;;;;;;;;;
117733;https://www.instagram.com/p/-KUItul4LQ/;1119796017141088976_650286503;;;;;;;;;;;;;;;;;;;;;;;;;
117188;https://www.instagram.com/p/-WUQXRx7qy/;1123174242511731378_2045534589;;;;;;;;;;;;;;;;;;;;;;;;;
461;https://www.instagram.com/p/_ZR84iEkCi/;1142022931175588002_1542026167;;;;;;;;;;;;;;;;;;;;;;;;;
78951;https://www.instagram.com/p/5Iv0AHsqPj/;1029282796582118371_1399623239;;;;;;;;;;;;;;;;;;;;;;;;;
80466;https://www.instagram.com/p/4fRQAenqyU/;1017607907625053332_10971962;;;;;;;;;;;;;;;;;;;;;;;;;
105541;https://www.instagram.com/p/j7EoWTNu0P/;647131336367598863_175828514;;;;;;;;;;;;;;;;;;;;;;;;;
46579;https://www.instagram.com/p/77GiYNuIvC/;1079485286426643394_32668617;;;;;;;;;;;;;;;;;;;;;;;;;
47518;https://www.instagram.com/p/73eEDYSl8k/;1078462855680515876_26009758;;;;;;;;;;;;;;;;;;;;;;;;;
70325;https://www.instagram.com/p/7KfxDTlDIB/;1065803972072452609_179041291;;;;;;;;;;;;;;;;;;;;;;;;;
73590;https://www.instagram.com/p/67Ye4TDn15/;1061549812325711225_26850926;;;;;;;;;;;;;;;;;;;;;;;;;
16415;https://www.instagram.com/p/-TaieRuO55/;1122357450326470265_2171653642;;;;;;;;;;;;;;;;;;;;;;;;;
44442;https://www.instagram.com/p/8DUvDqj9mk/;1081799530179975588_1646206013;;;;;;;;;;;;;;;;;;;;;;;;;
114937;https://www.instagram.com/p/1okA-xqI5S/;966180517150494290_1494452594;;;;;;;;;;;;;;;;;;;;;;;;;
97387;https://www.instagram.com/p/uWXfIsy7fW/;834958075638822870_1508484844;;;;;;;;;;;;;;;;;;;;;;;;;
879;https://www.instagram.com/p/_XF7mGIPvd/;1141407116148407261_267437109;;;;;;;;;;;;;;;;;;;;;;;;;
29692;https://www.instagram.com/p/9VsU2xGHYo/;1104984230831093288_197086564;;;;;;;;;;;;;;;;;;;;;;;;;
128497;https://www.instagram.com/p/-3ip0lOO85/;1132526238845955897_1145083642;;;;;;;;;;;;;;;;;;;;;;;;;
10411;https://www.instagram.com/p/-nvjU5rKut/;1128079367489760173_2278977857;;;;;;;;;;;;;;;;;;;;;;;;;
60554;https://www.instagram.com/p/7YdNp2ylNo/;1069733393145156456_37124755;;;;;;;;;;;;;;;;;;;;;;;;;
119640;https://www.instagram.com/p/9JkQUXOx71/;1101571034919411445_2160863782;;;;;;;;;;;;;;;;;;;;;;;;;
120062;https://www.instagram.com/p/85KahMnp72/;1096953787058134774_1833416958;;;;;;;;;;;;;;;;;;;;;;;;;
73127;https://www.instagram.com/p/6-cFWsA8Jz/;1062410075366474355_207235239;;;;;;;;;;;;;;;;;;;;;;;;;
4353;https://www.instagram.com/p/_G5NzSx_yA/;1136847593037888640_240094606;;;;;;;;;;;;;;;;;;;;;;;;;
101685;https://www.instagram.com/p/piA91fqHnl/;748164737424456165_183152589;;;;;;;;;;;;;;;;;;;;;;;;;
125135;https://www.instagram.com/p/7QyuFkK60t/;1067576181083843885_511697794;;;;;;;;;;;;;;;;;;;;;;;;;
38686;https://www.instagram.com/p/8dSsIkqqhn/;1089108882592802919_2214377729;;;;;;;;;;;;;;;;;;;;;;;;;
43157;https://www.instagram.com/p/8I4qIPTEt4/;1083364896051841912_1716769881;;;;;;;;;;;;;;;;;;;;;;;;;
99218;https://www.instagram.com/p/sR9mV3rcYS/;797689524681295378_1327928;;;;;;;;;;;;;;;;;;;;;;;;;
120471;https://www.instagram.com/p/8nETHjIDbU/;1091860340622243540_551362060;;;;;;;;;;;;;;;;;;;;;;;;;
118200;https://www.instagram.com/p/98AtY5B_OR/;1115769926784119697_243725507;;;;;;;;;;;;;;;;;;;;;;;;;
47231;https://www.instagram.com/p/745YUdqDiZ/;1078864470646208665_6142573;;;;;;;;;;;;;;;;;;;;;;;;;
18610;https://www.instagram.com/p/-O_u2nIilH/;1121113653926570311_271047185;;;;;;;;;;;;;;;;;;;;;;;;;
139828;https://www.instagram.com/p/uhSxsfoOxE/;838033585534463044_3977106;;;;;;;;;;;;;;;;;;;;;;;;;
94990;https://www.instagram.com/p/wiUEpelZHb/;874349558007960027_1416661379;;;;;;;;;;;;;;;;;;;;;;;;;
